VendorName,VendorNumber,Brand,PurchasePrice,PurchaseQuantity,PurchaseDollars,Price,Volume,PricePurchasePrice,InvoiceQuantity,InvoiceDollars,TotalFreight,TotalSalesDollar,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,Description,TotalProfit
BROWN-FORMAN CORP          ,1128,1233,26.27,145080.0,3811251.600000111,36.99,1750.0,26.27,1006122.0,13529433.080000006,68601.68000000001,5101919.510000559,672819.3099998693,142049.0,260999.2000000145,Jack Daniels No 7 Black,1290667.9100004476
MARTIGNETTI COMPANIES,4425,3405,23.19,164038.0,3804041.2199999536,28.99,1750.0,23.19,2640411.0,27861690.019999996,144929.24,4819073.490000401,561512.3699999085,160247.0,294438.6600000097,Tito's Handmade Vodka,1015032.270000447
PERNOD RICARD USA          ,17035,8068,18.24,187407.0,3418303.680000034,24.99,1750.0,18.24,1647558.0,24124091.56,123780.21999999997,4538120.600000365,461140.1499998849,187140.0,343854.07000000787,Absolut 80 Proof,1119816.9200003305
DIAGEO NORTH AMERICA INC   ,3960,4261,16.17,201682.0,3261197.94000002,22.99,1750.0,16.17,5459788.0,50959796.849999994,257032.07000000007,4475972.880000464,420050.0099998967,200412.0,368242.8000000149,Capt Morgan Spiced Rum,1214774.9400004437
DIAGEO NORTH AMERICA INC   ,3960,3545,21.89,138109.0,3023206.0099999965,29.99,1750.0,21.89,5459788.0,50959796.849999994,257032.07000000007,4223107.620000436,545778.2799998876,135838.0,249587.83000001253,Ketel One Vodka,1199901.6100004395
BACARDI USA INC            ,480,3858,17.77,138809.0,2466635.930000039,23.99,750.0,17.77,1427075.0,17624378.719999995,89286.26999999999,3383912.4000005093,446932.08999989054,141860.0,111699.18999999705,Grey Goose Vodka,917276.4700004705
PERNOD RICARD USA          ,17035,2589,30.76,70783.0,2177285.0800000825,39.99,1750.0,30.76,1647558.0,24124091.56,123780.21999999997,2773367.729999988,614529.3399998964,69627.0,127931.66999998408,Jameson Irish Whiskey,596082.6499999054
DIAGEO NORTH AMERICA INC   ,3960,3102,12.94,161386.0,2088334.8399999859,17.99,1750.0,12.94,5459788.0,50959796.849999994,257032.07000000007,2592041.349999925,292586.2899999302,148265.0,272422.6000000083,Smirnoff Traveler,503706.50999993924
DIAGEO NORTH AMERICA INC   ,3960,3489,20.73,91835.0,1903739.5499999446,27.99,1750.0,20.73,5459788.0,50959796.849999994,257032.07000000007,2640491.190000111,503661.01999988995,90481.0,166244.44000000262,Tanqueray,736751.6400001661
JIM BEAM BRANDS COMPANY    ,12546,1376,16.29,108866.0,1773427.139999997,21.99,1750.0,16.29,2737165.0,24203151.05000001,123880.96999999999,2435393.38999984,426902.77999989083,107061.0,196707.35000000568,Jim Beam,661966.2499998428
PERNOD RICARD USA          ,17035,2585,16.42,93205.0,1530426.1000000215,22.99,750.0,16.42,1647558.0,24124091.56,123780.21999999997,2148965.5299997157,436011.6399998929,91247.0,71840.57000000637,Jameson Irish Whiskey,618539.4299996942
DIAGEO NORTH AMERICA INC   ,3960,2757,22.38,66942.0,1498161.9600000305,29.99,1750.0,22.38,5459788.0,50959796.849999994,257032.07000000007,1840615.669999787,442856.1999999129,61433.0,112875.18999998401,Johnnie Walker Red Label,342453.7099997564
BACARDI USA INC            ,480,2663,21.42,69001.0,1478001.420000022,29.99,1750.0,21.42,1427075.0,17624378.719999995,89286.26999999999,2189368.779999833,495957.82999989664,70122.0,128839.07999998711,Dewars White Label,711367.359999811
